This file was created by CMPT_ME_PRIOR_RETS using the 202208 CRSP database.
It contains value- weighted returns for the intersections of  2 ME portfolios
and  3 prior return portfolios.

The portfolios are constructed monthly.  ME is market cap at the end of the
previous month.  PRIOR_RET is from -12 to - 2.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
199504,   2260,   1224,   1397,    177,    448,    406
199505,   2151,   1323,   1411,    166,    448,    419
199506,   2185,   1220,   1506,    175,    466,    399
199507,   2327,   1208,   1383,    185,    448,    422
199508,   2050,   1327,   1536,    176,    470,    418
199509,   1974,   1324,   1632,    171,    479,    420
199510,   2051,   1233,   1636,    161,    480,    435
199511,   1999,   1294,   1644,    181,    451,    440
199512,   2017,   1285,   1647,    171,    451,    451
199601,   1988,   1323,   1620,    147,    464,    467
199602,   2151,   1197,   1569,    177,    457,    445
199603,   2121,   1311,   1496,    181,    469,    432
199604,   2016,   1349,   1581,    194,    451,    433
199605,   2041,   1353,   1548,    197,    473,    426
199606,   1951,   1308,   1715,    213,    449,    414
199607,   1909,   1321,   1770,    220,    473,    392
199608,   2068,   1312,   1643,    217,    482,    378
199609,   2251,   1368,   1434,    214,    468,    402
199610,   2260,   1377,   1390,    233,    456,    421
199611,   2303,   1400,   1357,    237,    486,    398
199612,   2299,   1354,   1430,    241,    486,    398
199701,   2311,   1448,   1362,    241,    469,    423
199702,   2346,   1399,   1363,    256,    485,    405
199703,   2341,   1425,   1362,    253,    500,    387
199704,   2442,   1335,   1404,    251,    474,    409
199705,   2631,   1177,   1414,    262,    480,    397
199706,   2907,   1250,   1103,    260,    468,    423
199707,   2799,   1256,   1227,    264,    454,    447
199708,   2718,   1356,   1234,    262,    463,    428
199709,   2820,   1348,   1168,    260,    462,    433
199710,   2670,   1285,   1383,    284,    490,    378
199711,   2412,   1363,   1619,    289,    488,    379
199712,   2248,   1278,   1874,    288,    510,    352
199801,   2376,   1295,   1734,    256,    501,    388
199802,   2634,   1250,   1498,    262,    480,    413
199803,   2480,   1315,   1542,    266,    482,    426
199804,   2429,   1480,   1400,    258,    465,    453
199805,   2280,   1395,   1627,    261,    478,    434
199806,   2207,   1410,   1672,    251,    484,    411
199807,   2224,   1416,   1595,    232,    497,    453
199808,   2237,   1500,   1503,    238,    470,    472
199809,   2216,   1645,   1362,    197,    454,    508
199810,   2396,   1653,   1093,    203,    473,    499
199811,   2469,   1718,    954,    181,    497,    510
199812,   2564,   1639,    921,    172,    486,    538
199901,   2394,   1594,   1079,    169,    491,    560
199902,   2393,   1617,   1001,    169,    492,    583
199903,   1931,   1855,   1188,    183,    458,    587
199904,   1968,   1833,   1163,    156,    459,    594
199905,   2129,   1874,    965,    137,    467,    591
199906,   2451,   1609,    894,    138,    462,    592
199907,   2342,   1514,   1085,    159,    466,    558
199908,   2414,   1404,   1109,    164,    473,    542
199909,   2131,   1442,   1301,    178,    465,    542
199910,   1938,   1531,   1353,    194,    457,    527
199911,   1710,   1491,   1529,    218,    449,    530
199912,   1679,   1584,   1380,    179,    459,    592
200001,   1467,   1508,   1624,    200,    455,    599
200002,   1614,   1522,   1417,    192,    454,    618
200003,   1354,   1532,   1540,    220,    443,    690
200004,    996,   1476,   2001,    270,    386,    628
200005,   1162,   1474,   1901,    188,    415,    611
200006,   1400,   1478,   1651,    194,    408,    592
200007,   1586,   1481,   1421,    178,    424,    635
200008,   1465,   1558,   1501,    197,    393,    620
200009,   1624,   1498,   1363,    205,    387,    631
200010,   1597,   1562,   1305,    187,    399,    618
200011,   1634,   1598,   1243,    215,    420,    538
200012,   2011,   1487,    998,    212,    420,    500
200101,   2153,   1501,    805,    260,    434,    440
200102,   2565,   1258,    608,    289,    421,    415
200103,   2730,   1185,    547,    323,    399,    370
200104,   2535,   1183,    749,    312,    410,    334
200105,   2353,   1174,    892,    356,    390,    337
200106,   2273,   1184,    955,    305,    436,    316
200107,   2395,   1140,    849,    343,    408,    322
200108,   2269,   1131,    990,    321,    402,    302
200109,   2294,   1048,   1072,    320,    394,    312
200110,   2230,   1125,   1097,    306,    396,    280
200111,   2024,   1115,   1222,    337,    395,    289
200112,   1794,   1091,   1455,    317,    426,    271
200201,   1556,   1056,   1687,    309,    432,    273
200202,   1913,   1041,   1315,    292,    427,    281
200203,   1726,    984,   1557,    265,    400,    304
200204,   1667,   1152,   1396,    266,    424,    293
200205,   1683,   1046,   1482,    277,    432,    241
200206,   1733,   1069,   1395,    295,    408,    244
200207,   1854,   1008,   1326,    281,    392,    263
200208,   1804,    947,   1377,    307,    419,    225
200209,   1768,   1003,   1346,    260,    388,    289
200210,   1707,   1118,   1242,    263,    403,    271
200211,   1764,    976,   1285,    276,    400,    273
200212,   1693,   1015,   1284,    278,    390,    286
200301,   1737,    887,   1350,    235,    410,    294
200302,   1740,    940,   1263,    249,    407,    285
200303,   1529,    897,   1465,    215,    415,    303
200304,   1539,    896,   1425,    201,    411,    327
200305,   1484,    959,   1396,    174,    393,    367
200306,   1413,    962,   1439,    183,    406,    352
200307,   1243,   1036,   1505,    141,    401,    403
200308,   1128,    997,   1621,    186,    428,    338
200309,    983,    997,   1741,    196,    421,    338
200310,   1041,   1001,   1665,    200,    390,    354
200311,    902,   1029,   1745,    224,    416,    312
200312,    966,    959,   1728,    247,    396,    313
200401,    883,   1020,   1745,    239,    399,    305
200402,   1024,   1037,   1560,    251,    421,    283
200403,    918,   1052,   1642,    285,    392,    270
200404,    967,   1063,   1555,    280,    412,    255
200405,    960,   1037,   1578,    290,    387,    257
200406,   1083,    976,   1491,    300,    391,    249
200407,   1211,    978,   1346,    241,    411,    271
200408,   1429,    939,   1155,    255,    410,    254
200409,   1510,    948,   1073,    250,    420,    238
200410,   1690,    911,    907,    252,    407,    254
200411,   1658,    901,    943,    269,    401,    239
200412,   1614,    977,    916,    257,    394,    250
200501,   1586,    927,    976,    262,    392,    260
200502,   1693,    871,    920,    237,    409,    265
200503,   1647,    956,    879,    238,    398,    274
200504,   1689,    982,    808,    229,    419,    261
200505,   1710,    987,    767,    233,    402,    276
200506,   1675,   1042,    748,    235,    401,    276
200507,   1674,   1008,    784,    213,    404,    295
200508,   1554,   1023,    886,    234,    400,    272
200509,   1486,   1034,    934,    229,    401,    281
200510,   1507,   1020,    920,    219,    383,    304
200511,   1495,   1069,    874,    235,    379,    298
200512,   1523,   1028,    870,    181,    419,    316
200601,   1586,   1010,    835,    187,    404,    314
200602,   1598,    954,    863,    180,    399,    324
200603,   1427,   1011,    979,    211,    381,    312
200604,   1330,   1014,   1067,    188,    407,    303
200605,   1187,   1089,   1126,    229,    399,    269
200606,   1212,   1067,   1141,    215,    396,    267
200607,   1281,   1067,   1067,    189,    400,    290
200608,   1379,   1018,   1036,    189,    402,    276
200609,   1412,   1056,    975,    191,    392,    290
200610,   1420,   1052,    971,    196,    397,    273
200611,   1473,   1011,    949,    205,    390,    277
200612,   1444,    982,   1002,    229,    387,    247
200701,   1507,    995,    917,    232,    388,    235
200702,   1506,   1044,    836,    229,    386,    257
200703,   1622,    955,    822,    217,    374,    266
200704,   1639,    998,    748,    195,    380,    280
200705,   1600,   1026,    751,    203,    374,    275
200706,   1694,    900,    765,    186,    388,    288
200707,   1796,    805,    766,    182,    387,    281
200708,   1654,    861,    825,    190,    385,    278
200709,   1562,    939,    825,    169,    385,    299
200710,   1616,    912,    775,    179,    373,    302
200711,   1621,    918,    747,    158,    375,    323
200712,   1530,    986,    761,    148,    378,    334
200801,   1554,   1064,    663,    135,    362,    362
200802,   1491,   1100,    692,    138,    357,    354
200803,   1613,    977,    674,    134,    366,    347
200804,   1515,   1105,    636,    122,    368,    356
200805,   1496,   1078,    674,    138,    363,    338
200806,   1475,   1177,    617,    124,    360,    355
200807,   1528,   1164,    562,    112,    376,    363
200808,   1525,   1132,    590,    133,    373,    344
200809,   1499,   1090,    664,    149,    367,    326
200810,   1557,    970,    697,    169,    385,    287
200811,   1552,    929,    720,    185,    369,    307
200812,   1374,    996,    822,    148,    387,    332
200901,   1364,   1058,    766,    132,    379,    352
200902,   1364,   1045,    768,    130,    385,    342
200903,   1252,   1157,    740,    114,    383,    371
200904,   1185,   1117,    823,     96,    379,    389
200905,   1127,   1161,    841,    110,    389,    349
200906,   1188,   1083,    841,    140,    393,    315
200907,   1236,    874,    984,    158,    383,    321
200908,   1180,    933,    967,    145,    391,    329
200909,   1233,    855,    997,    145,    402,    303
200910,   1233,    882,    951,    155,    393,    300
200911,   1298,    816,    923,    191,    391,    268
200912,   1200,    856,    961,    212,    394,    242
201001,   1204,    863,    925,    201,    393,    259
201002,   1220,    924,    824,    226,    399,    232
201003,   1211,    901,    841,    267,    378,    205
201004,   1207,    869,    843,    272,    376,    214
201005,   1269,    761,    876,    217,    406,    240
201006,   1265,    796,    832,    232,    405,    230
201007,   1285,    818,    754,    228,    423,    220
201008,   1238,    718,    896,    211,    399,    257
201009,   1240,    787,    816,    205,    375,    284
201010,   1212,    846,    773,    182,    384,    297
201011,   1259,    762,    814,    202,    377,    274
201012,   1167,    770,    878,    218,    367,    270
201101,   1166,    820,    822,    215,    361,    277
201102,   1197,    802,    800,    225,    367,    263
201103,   1202,    759,    833,    198,    357,    295
201104,   1217,    770,    783,    183,    372,    302
201105,   1262,    778,    726,    171,    363,    320
201106,   1327,    768,    658,    169,    367,    310
201107,   1325,    776,    637,    165,    399,    288
201108,   1276,    768,    703,    161,    386,    303
201109,   1178,    820,    742,    186,    401,    265
201110,   1192,    756,    769,    156,    390,    316
201111,   1055,    877,    784,    144,    365,    336
201112,   1173,    858,    669,    141,    382,    329
201201,   1141,    940,    619,    134,    377,    336
201202,   1153,    926,    608,    167,    371,    311
201203,   1145,    894,    640,    162,    377,    317
201204,   1140,    849,    676,    136,    380,    346
201205,   1099,    801,    754,    164,    375,    326
201206,   1116,    750,    763,    175,    368,    338
201207,   1047,    825,    748,    171,    374,    329
201208,   1029,    830,    761,    164,    376,    329
201209,   1073,    769,    763,    168,    385,    316
201210,   1136,    759,    695,    199,    397,    267
201211,   1028,    741,    805,    196,    399,    273
201212,   1012,    781,    770,    199,    400,    266
201301,   1068,    752,    740,    189,    402,    276
201302,   1143,    716,    697,    191,    406,    265
201303,   1142,    690,    721,    200,    408,    257
201304,   1158,    740,    646,    197,    395,    274
201305,   1141,    700,    696,    207,    399,    259
201306,   1237,    662,    628,    197,    417,    253
201307,   1161,    737,    607,    206,    402,    263
201308,   1096,    715,    696,    220,    409,    242
201309,   1085,    685,    716,    240,    393,    253
201310,   1047,    703,    726,    197,    398,    285
201311,    971,    751,    752,    193,    432,    253
201312,    958,    736,    767,    208,    409,    268
201401,    905,    728,    828,    203,    405,    272
201402,    940,    703,    798,    206,    406,    274
201403,    843,    761,    838,    205,    395,    288
201404,    850,    778,    808,    199,    381,    309
201405,    838,    787,    810,    226,    385,    283
201406,    979,    734,    735,    191,    408,    296
201407,   1079,    731,    635,    179,    394,    323
201408,   1091,    683,    676,    177,    408,    313
201409,   1080,    719,    655,    155,    417,    325
201410,   1123,    726,    612,    151,    408,    341
201411,   1042,    769,    648,    130,    418,    357
201412,   1072,    774,    606,    134,    417,    366
201501,   1037,    860,    550,    114,    396,    408
201502,   1115,    809,    520,    134,    421,    370
201503,   1048,    850,    550,    144,    413,    368
201504,   1076,    849,    541,    130,    371,    425
201505,    997,    833,    654,    164,    388,    370
201506,   1015,    791,    681,    148,    400,    378
201507,    991,    853,    627,    146,    399,    395
201508,    960,    793,    723,    162,    420,    373
201509,    946,    840,    692,    154,    394,    407
201510,    958,    801,    698,    160,    434,    363
201511,    961,    758,    763,    144,    412,    391
201512,    988,    726,    772,    150,    426,    368
201601,    990,    702,    779,    148,    413,    389
201602,    968,    696,    802,    155,    407,    382
201603,    996,    669,    808,    149,    430,    353
201604,   1007,    716,    752,    139,    409,    372
201605,   1054,    744,    667,    162,    398,    357
201606,   1091,    664,    715,    160,    423,    329
201607,   1121,    721,    632,    148,    396,    364
201608,   1072,    828,    584,    184,    422,    305
201609,   1058,    841,    583,    177,    413,    308
201610,   1097,    763,    604,    212,    419,    273
201611,    996,    766,    702,    208,    427,    267
201612,   1074,    717,    660,    184,    422,    303
201701,   1051,    689,    712,    248,    394,    260
201702,    964,    716,    756,    278,    402,    221
201703,    969,    686,    764,    260,    404,    241
201704,    963,    637,    803,    227,    416,    262
201705,    969,    584,    841,    200,    415,    292
201706,    928,    611,    851,    214,    402,    288
201707,    948,    617,    825,    191,    375,    340
201708,    929,    638,    831,    180,    396,    328
201709,    974,    628,    791,    163,    387,    347
201710,   1002,    669,    705,    146,    395,    359
201711,    955,    643,    786,    169,    412,    309
201712,    941,    739,    681,    165,    394,    338
201801,    973,    792,    592,    135,    416,    346
201802,    967,    806,    574,    136,    437,    328
201803,   1020,    743,    580,    142,    403,    353
201804,    993,    787,    563,    142,    401,    350
201805,   1013,    699,    647,    151,    392,    346
201806,    950,    740,    662,    193,    389,    311
201807,    921,    761,    683,    192,    384,    316
201808,    929,    738,    699,    191,    402,    299
201809,    966,    726,    669,    216,    391,    291
201810,    962,    728,    653,    186,    380,    333
201811,    967,    716,    661,    189,    393,    317
201812,    960,    715,    665,    173,    409,    330
201901,    966,    759,    610,    150,    404,    356
201902,    939,    793,    609,    161,    402,    337
201903,    955,    782,    601,    173,    392,    330
201904,   1004,    765,    564,    153,    389,    358
201905,    996,    805,    530,    134,    400,    374
201906,   1080,    829,    433,    126,    378,    405
201907,   1005,    913,    453,    115,    391,    395
201908,   1031,    889,    439,    103,    397,    417
201909,   1110,    857,    391,     94,    408,    410
201910,   1042,    921,    402,    103,    403,    399
201911,   1125,    798,    432,    122,    406,    387
201912,   1077,    786,    480,    125,    413,    372
202001,   1099,    727,    509,    133,    431,    345
202002,   1102,    723,    499,    127,    411,    372
202003,   1067,    821,    439,    109,    410,    393
202004,   1046,    735,    513,    116,    419,    402
202005,    895,    894,    514,    101,    382,    449
202006,    973,    811,    508,     98,    379,    465
202007,    911,    839,    557,     94,    378,    474
202008,    848,    802,    668,    103,    377,    456
202009,    902,    756,    645,    122,    382,    443
202010,    898,    744,    661,    117,    362,    464
202011,    881,    711,    721,    122,    379,    446
202012,    890,    743,    685,    133,    370,    435
202101,    971,    636,    712,    132,    378,    422
202102,    968,    624,    717,    163,    371,    414
202103,    882,    577,    856,    194,    381,    373
202104,    779,    745,    788,    287,    400,    251
202105,    776,    829,    720,    287,    413,    225
202106,    845,    809,    668,    288,    417,    221
202107,    940,    763,    635,    321,    400,    212
202108,    857,    753,    724,    320,    416,    212
202109,    924,    689,    745,    299,    415,    222
202110,    930,    721,    720,    314,    404,    217
202111,    934,    765,    689,    292,    424,    226
202112,   1054,    689,    654,    281,    391,    272
202201,   1144,    678,    592,    250,    422,    284
202202,   1398,    572,    469,    249,    418,    287
202203,   1478,    563,    436,    238,    428,    287
202204,   1427,    669,    464,    208,    434,    295
202205,   1384,    764,    475,    199,    442,    289
202206,   1448,    787,    429,    188,    443,    298
202207,   1535,    759,    390,    224,    445,    300
202208,   1471,    679,    588,    240,    425,    307


  Average Firm Size
,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
192701,      4.39,      7.62,      6.89,     48.98,    106.39,    132.86
192702,      4.62,      7.76,      8.05,     48.02,     90.88,    146.45
192703,      5.13,      7.39,      9.30,     49.25,    134.93,    114.00
192704,      4.73,      7.28,      8.01,     65.87,    135.51,    107.32
192705,      4.64,      7.51,      8.25,     65.71,    126.74,    112.48
192706,      4.96,      8.07,      7.69,     93.33,    130.07,    119.51
192707,      5.06,      7.75,      7.38,     94.29,    131.23,    108.79
192708,      5.39,      8.10,      7.44,    102.45,    148.42,    109.04
192709,      5.33,      8.35,      7.34,     94.61,    140.98,    123.91
192710,      5.35,      7.82,      8.52,     79.49,    142.46,    148.13
192711,      5.02,      7.96,      8.08,     76.61,    135.54,    135.31
192712,      6.02,      8.01,      8.78,     65.82,    151.98,    134.94
192801,      5.66,      9.18,      8.91,     94.20,    155.34,    142.78
192802,      6.24,      8.45,      9.55,     90.82,    144.29,    152.09
192803,      5.79,      8.53,      8.37,     85.76,    154.53,    140.15
192804,      6.63,      8.81,      8.78,     76.04,    165.82,    168.69
192805,      6.80,      9.13,     10.29,     87.19,    177.05,    154.83
192806,      6.81,     10.10,      8.76,     84.81,    178.15,    164.05
192807,      7.02,      8.89,      7.98,     76.57,    174.78,    154.18
192808,      6.88,      8.22,      8.69,     72.64,    187.03,    141.81
192809,      6.80,      9.53,      8.44,     82.39,    192.34,    160.48
192810,      7.12,     10.06,      8.81,     98.97,    204.53,    150.62
192811,      7.66,     10.36,      8.61,    111.37,    204.62,    152.01
192812,      8.05,     11.05,     10.11,    103.81,    234.14,    177.74
192901,      8.67,     10.96,     10.19,    123.99,    179.72,    249.85
192902,      8.49,     12.24,     10.68,    139.98,    195.72,    245.48
192903,      8.36,     11.60,     11.81,     90.55,    203.61,    241.87
192904,      7.52,     12.70,      9.99,     98.83,    230.77,    206.83
192905,      7.92,     11.85,     10.95,     93.68,    214.00,    235.43
192906,      6.66,     10.40,     10.21,     75.51,    195.72,    219.59
192907,      6.79,     11.24,     10.58,     57.22,    212.33,    246.27
192908,      6.46,     11.13,     12.90,     82.44,    198.40,    275.79
192909,      7.13,     10.91,     12.11,    199.42,    163.95,    330.83
192910,      6.05,     11.08,     11.50,    177.26,    137.19,    321.64
192911,      4.72,      9.14,      8.74,    127.05,    124.91,    255.37
192912,      4.14,      6.83,      8.17,    115.53,     93.13,    227.46
193001,      4.09,      6.67,      7.45,    130.53,     98.42,    228.62
193002,      4.32,      7.58,      7.76,     45.15,    113.39,    246.77
193003,      4.59,      7.65,      8.66,    117.13,    106.88,    252.94
193004,      5.45,      8.09,      9.38,    143.12,    125.07,    262.75
193005,      5.26,      7.49,      8.77,    141.81,    124.01,    249.26
193006,      5.03,      7.50,      8.36,     96.42,    134.71,    264.32
193007,      4.13,      5.48,      7.65,     60.68,    118.02,    227.88
193008,      4.16,      5.70,      7.86,     70.75,    133.84,    230.54
193009,      4.21,      5.64,      7.18,     82.02,    161.53,    191.62
193010,      3.41,      4.64,      6.71,     64.26,    112.80,    202.56
193011,      2.97,      4.14,      6.16,     46.94,    101.31,    189.03
193012,      2.98,      4.25,      5.53,     51.38,    107.53,    175.26
193101,      2.20,      3.79,      4.21,     43.93,    109.60,    158.78
193102,      2.72,      4.34,      5.41,     40.19,     98.75,    171.95
193103,      3.21,      4.87,      6.15,     54.92,    114.07,    185.07
193104,      2.90,      4.55,      5.38,     38.90,    102.42,    179.63
193105,      2.43,      3.79,      4.38,     32.05,     99.93,    152.05
193106,      2.27,      3.04,      4.20,     28.48,     78.49,    142.53
193107,      2.60,      3.36,      4.62,     43.24,    102.70,    148.75
193108,      2.53,      3.21,      4.17,     40.62,     99.46,    136.43
193109,      2.50,      3.19,      3.23,     40.48,    103.03,    132.82
193110,      1.60,      2.20,      2.14,     27.19,     74.55,     92.83
193111,      1.75,      2.31,      2.36,     20.14,     81.22,    104.44
193112,      1.66,      2.05,      2.14,     21.45,     66.49,     99.41
193201,      1.30,      1.58,      1.52,     29.97,     61.34,     80.09
193202,      1.26,      1.68,      1.97,     27.55,     44.36,     91.74
193203,      1.24,      1.74,      1.86,     29.12,     54.32,     87.02
193204,      1.07,      1.46,      1.70,     17.83,     45.15,     80.70
193205,      0.89,      1.12,      1.40,     16.45,     40.63,     66.03
193206,      0.63,      0.87,      1.13,     11.02,     33.15,     50.29
193207,      0.76,      0.88,      0.95,     12.64,     31.39,     52.05
193208,      1.00,      1.20,      1.35,     20.58,     45.32,     62.28
193209,      1.52,      2.16,      2.02,     29.73,     67.44,     81.66
193210,      1.63,      1.93,      1.52,     56.66,     75.16,     43.51
193211,      1.30,      1.61,      1.22,     33.97,     81.72,     29.82
193212,      1.25,      1.37,      1.15,     34.29,     68.63,     36.57
193301,      1.11,      1.27,      1.03,     39.40,     66.23,     44.19
193302,      1.12,      1.36,      1.08,     17.64,     49.31,     73.16
193303,      0.77,      1.15,      1.05,     19.12,     56.77,     43.06
193304,      0.92,      1.22,      1.01,     23.08,     50.23,     49.63
193305,      1.42,      1.70,      1.54,     40.37,     84.35,     48.41
193306,      2.27,      2.71,      2.92,     96.61,     84.23,     56.50
193307,      2.84,      3.37,      3.00,    119.47,     82.18,     50.19
193308,      2.63,      3.07,      2.35,    121.96,     69.03,     29.85
193309,      2.83,      3.36,      2.62,    127.88,     67.76,     75.07
193310,      2.36,      2.74,      2.27,     97.91,     79.85,     50.04
193311,      1.92,      2.45,      2.07,     99.34,     65.99,     51.00
193312,      1.93,      2.56,      2.21,     88.54,     83.71,     59.38
193401,      2.01,      2.55,      2.29,     93.09,     79.91,     65.08
193402,      2.77,      3.43,      2.92,    109.80,     86.24,     70.32
193403,      3.20,      3.09,      3.09,    119.20,     71.26,     55.53
193404,      3.28,      3.15,      2.91,    119.82,     72.37,     53.82
193405,      3.20,      3.31,      2.84,    108.66,     84.90,     30.44
193406,      2.50,      3.02,      2.70,     67.67,     92.62,     66.80
193407,      2.23,      2.86,      3.23,     56.95,     79.30,     91.74
193408,      1.57,      2.26,      2.75,     39.65,     87.95,     66.08
193409,      1.95,      2.31,      3.14,     26.75,     83.71,     88.64
193410,      1.92,      2.41,      2.63,     40.26,     94.93,     66.60
193411,      1.77,      2.50,      2.63,     41.38,     96.68,     57.26
193412,      2.30,      2.49,      3.14,     40.86,    116.16,     51.68
193501,      2.28,      2.72,      2.92,     52.15,    107.09,     50.19
193502,      1.88,      2.96,      3.04,     29.52,    104.58,     59.53
193503,      1.86,      2.59,      3.05,     25.88,     95.26,     67.78
193504,      1.49,      2.39,      2.82,     23.45,     85.73,     71.37
193505,      1.63,      2.72,      3.42,     19.92,     76.15,     91.63
193506,      1.64,      2.79,      3.24,     21.03,     96.38,     80.31
193507,      1.70,      2.89,      3.36,     32.46,     79.89,    104.68
193508,      2.01,      3.22,      3.81,     37.08,    123.09,     70.36
193509,      2.13,      3.55,      4.08,     38.77,    124.98,     77.55
193510,      2.28,      3.47,      4.25,     50.78,    114.64,     90.80
193511,      2.28,      4.10,      4.33,     62.66,    121.99,     96.46
193512,      2.65,      4.47,      5.00,     50.62,    122.26,    111.78
193601,      3.43,      4.44,      4.49,     70.71,    108.97,    142.26
193602,      3.85,      4.30,      5.86,     79.88,    140.99,    108.82
193603,      5.01,      4.60,      5.15,     87.18,    164.50,     81.83
193604,      5.54,      4.56,      5.02,     82.34,    181.46,     72.72
193605,      4.47,      4.01,      4.48,     87.83,    140.96,     89.68
193606,      4.22,      4.65,      4.76,     90.84,    145.41,     98.46
193607,      4.28,      4.84,      4.30,     88.30,    151.52,    105.42
193608,      4.83,      5.36,      4.45,     84.29,    162.89,    116.51
193609,      4.50,      5.42,      4.98,     88.53,    178.23,     83.37
193610,      4.96,      5.49,      5.18,     86.99,    187.41,     80.02
193611,      5.48,      6.20,      4.82,     96.77,    207.80,     80.02
193612,      4.87,      6.83,      6.48,     94.25,    184.09,    115.91
193701,      6.38,      6.10,      6.45,     93.79,    197.57,     97.60
193702,      5.78,      7.04,      7.52,     82.94,    194.16,    116.23
193703,      5.95,      7.74,      7.10,     89.94,    185.86,    117.03
193704,      5.91,      7.75,      7.00,    120.29,    166.75,    114.45
193705,      6.18,      5.99,      6.03,    157.51,    133.34,     91.36
193706,      5.52,      6.60,      5.60,    149.31,    129.58,    105.76
193707,      4.90,      5.84,      5.35,    141.99,    121.99,    103.34
193708,      5.39,      6.29,      5.98,    121.11,    142.57,    126.52
193709,      5.51,      5.58,      5.42,    113.43,    142.73,    106.64
193710,      3.74,      4.70,      4.63,     94.27,    118.53,    103.33
193711,      3.38,      4.35,      4.02,     46.54,    104.95,    113.41
193712,      2.92,      3.75,      4.00,     34.61,     76.91,    122.79
193801,      2.63,      3.11,      3.69,     26.68,     56.15,    129.69
193802,      2.52,      3.65,      4.05,     15.22,     50.54,    127.77
193803,      2.80,      3.55,      4.62,     20.08,     56.25,    132.35
193804,      1.48,      2.99,      3.28,     15.19,     38.78,    102.12
193805,      2.17,      3.29,      3.53,     19.26,     49.20,    109.15
193806,      1.90,      3.06,      3.32,     25.44,     44.29,    108.77
193807,      2.88,      3.54,      4.42,     23.67,     66.55,    129.42
193808,      3.19,      4.19,      5.05,     40.02,     71.06,    131.33
193809,      3.03,      3.99,      4.58,     43.18,     61.52,    136.13
193810,      2.65,      4.03,      4.60,     35.40,    106.76,    102.76
193811,      3.20,      4.59,      5.69,     37.54,    108.87,    111.35
193812,      2.88,      4.47,      4.89,     64.89,    119.03,     90.86
193901,      2.81,      4.76,      4.81,    120.72,    112.65,     71.66
193902,      2.50,      4.33,      5.02,     54.88,    128.82,     73.37
193903,      2.92,      4.26,      5.34,     59.58,    127.93,     81.26
193904,      2.35,      3.28,      3.91,     84.77,    110.05,     55.73
193905,      2.31,      3.22,      4.64,     43.73,     83.44,    106.41
193906,      2.77,      3.47,      4.63,     54.25,    114.96,     78.65
193907,      2.30,      3.67,      4.16,     39.42,     83.15,    105.61
193908,      2.70,      4.00,      4.92,     33.18,     85.66,    122.74
193909,      2.39,      3.51,      4.34,     32.89,     93.72,     99.12
193910,      3.42,      4.78,      5.46,     33.21,    118.29,    112.79
193911,      3.58,      4.93,      4.49,     55.42,    101.97,    131.99
193912,      3.35,      4.35,      3.95,     62.68,    109.76,    107.02
194001,      3.46,      4.07,      4.34,     32.75,    113.98,    125.07
194002,      2.99,      4.42,      4.44,     37.92,    122.78,     99.04
194003,      3.29,      4.25,      4.69,     31.78,    115.45,    115.95
194004,      3.23,      4.46,      4.54,     78.67,    123.61,     78.45
194005,      3.22,      4.76,      4.64,     63.36,    132.02,     75.06
194006,      2.39,      3.40,      3.20,     48.44,    111.72,     42.62
194007,      2.53,      3.32,      3.70,     47.80,    104.20,     77.52
194008,      2.65,      3.59,      3.65,     40.01,     97.02,     96.78
194009,      2.58,      3.86,      3.73,     48.80,    132.22,     45.40
194010,      2.45,      4.13,      4.64,     34.77,     78.77,    118.10
194011,      2.63,      4.37,      4.67,     41.63,     85.12,    113.38
194012,      2.66,      4.44,      4.36,     49.15,    124.66,     49.29
194101,      2.50,      4.73,      3.94,     69.70,    120.41,     43.86
194102,      2.56,      4.16,      4.27,     54.54,    114.19,     52.12
194103,      2.51,      4.11,      4.07,     44.83,     99.42,     75.25
194104,      2.50,      4.33,      4.00,     48.91,     94.28,     78.41
194105,      2.35,      3.74,      4.02,     35.41,     92.72,     76.77
194106,      2.39,      3.88,      3.74,     79.51,     94.98,     44.55
194107,      2.49,      4.09,      3.93,     90.56,     91.45,     58.05
194108,      3.29,      4.36,      4.21,     86.69,     97.43,     65.07
194109,      3.54,      4.18,      3.85,    115.71,     76.29,     67.91
194110,      3.35,      4.13,      3.78,     97.22,     87.79,     62.93
194111,      3.18,      3.72,      3.48,     68.30,     92.76,     60.41
194112,      3.04,      3.81,      3.22,     70.88,     86.48,     61.98
194201,      2.76,      2.99,      3.10,     66.77,     82.59,     57.92
194202,      2.73,      3.89,      3.30,     45.68,     89.90,     61.03
194203,      3.11,      3.56,      2.87,    106.56,     65.84,     47.81
194204,      2.92,      3.05,      2.98,     89.13,     63.05,     45.51
194205,      2.78,      2.96,      2.77,     94.14,     63.83,     31.33
194206,      2.74,      2.94,      2.88,     87.56,     74.20,     27.36
194207,      2.66,      3.03,      3.03,     82.59,     70.01,     47.13
194208,      2.66,      3.36,      3.23,     27.39,     91.56,     52.47
194209,      2.78,      3.14,      3.49,     51.17,     84.38,     55.56
194210,      2.94,      3.17,      3.48,     60.35,     91.45,     42.20
